Location,Office type,Counter type,Address 1,Address 2,Suburb,Postcode,Latitude,Longitude,Phone,Fax,Maintenance,Mon am,Mon pm,Tues am,Tues pm,Wed am,Wed pm,Thurs am,Thurs pm,Fri am,Fri pm,Sat am,Sat pm,Sun am,Sun pm,Agency,Services,,,,,,,,,,,,,Site Details,Popluation
Agnes Water,Service,QGAP,,71 Springs Road,Agnes Water,4677,-24.212252,151.910144,(07) 4902 1555,(07) 4902 1599,,9:00,16:30,9:00,16:30,9:00,16:30,9:00,16:30,9:00,16:30,,,,,SSQ,"Birth, Death &  Marriage Certificate copies; CTP insurance; Transport Services - Licences, Infringements & Registrations etc; Public Trustee - Write a Will; JP Services; Seniors Card; SPER Payments; Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries;",,,,,,,,,,,,,"Agnes Water, a coastal town of about 1600 people (including tourists on census night), is 80 km south-east of Gladstone.",1600
Aramac,Service,QGAP,,Gordon Street,Aramac,4726,-22.970524,145.242898,(07) 4651 3014,(07) 4651 3000,,9:00-13:00,14:00-16:45,9:00-13:00,14:00-16:45,9:00-13:00,14:00-16:45,9:00-13:00,14:00-16:45,9:00-13:00,14:00-16:45,,,,,SSQ,"CTP Insurance; Transport Services - Licences, Infringments & Registrations, etc; Information & Form Provision for ATO; Centrelink; ACCC; RTA; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,"Aramac, a rural town of about 340 people, is 530 km west of Rockhampton and 70 km north of Barcaldine, central Queensland.",340
Augathella,Service,QGAP,,98 Main Street,Augathella,4477,-25.795825,146.581712,(07) 4654 5007,(07) 4654 5009,,9:30,15:30,9:30,15:30,9:30,15:30,9:30,15:30,9:30,15:30,,,,,SSQ,"Birth, Death &  Marriage Certificate copies; Transport Services - Licences, Infringement & Registrations etc; Public Trustee - Write a Will; SPER payments; Information & Form provision for ATO; Centrelink; ACCC; RTA; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,"Augathella, a rural town of 520 people, is 700 km north-west of Brisbane, and 75 km north-east of Charleville.",
Babinda ,Service,QGAP,Police Station,10 Munro Street,Babinda,4861,-17.343982,145.924292,(07) 4067 1120,(07) 4067 1045,,8:30,15:30,8:30,15:30,Closed,Closed,8:30,15:30,8:30,15:30,,,,,QPS,"Birth, Death &  Marriage Certificate copies; CTP Insurance; Transport services -Licences, Infringements & Registrations, etc; Public Trustee - Write a Will; JP Services; SPER Payments; Information & Form provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affair;  General Queensland Government Enquiries",,,,,,,,,,,,,"Babinda, a rural town of 1200 people, is 50 km south-east of Cairns and 10 km inland from the coast.",1200
Barcaldine ,Service,QGAP ,Court House,65 Ash Street,Barcaldine,4725,-23.553474,145.290261,(07) 4651 1191,(07) 4651 2021,,9:00,16:30,9:00,16:30,9:00,16:30,9:00,16:30,9:00,16:30,,,,,JAG,"Birth, Death & Marriage Certificate copies; Housing & Homelessness Services - Bond Loans etc; Community Liquor Permits, Liquor & Gaming Infringements, Liquor & Gaming Licences; CTP Insurance; Transport  Services - Licences, Infringements & Registrations etc; Public Trustee -  Write a Will; Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare ;Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,"Barcaldine is a rural town 520 km west of Rockhampton, at the intersection of the Capricorn and Landsborough Highways",
Beaudesert,Service,QGAP,Centre 9 ,William Street,Beaudesert,4285,-27.989608,152.998844,(07) 5542 9400,(07) 5542 9450,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,TMR,"Birth, Death &  Marriage Certificate copies; Fair Trading Services -  Industry Licensing Applications & Renewals, Incorporated Association Application & Renewals etc & Consumer Complaints; Housing & Homelessness services -  Bond Loans; CTP Insurance; Public Trustee - Write a Will; JP Services; Seniors Card; Information & Form provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,"Beaudesert, a rural town of 4500 people, is 53 km south of central Brisbane.",4500
Bedourie ,Service,QGAP,Police Station,Merri Street,Bedourie,4829,-24.358787,139.469664,(07) 4746 1128,(07) 4746 1266,,8:30-12:30,1:00-5:00,Closed,Closed,Closed,Closed,Closed,Closed,8:30-12:30,1:00-5:00,,,,,QPS,"CTP Insurance; Transport Services - Licences, Infringements & Registrations etc; QPS - Weapons Licence etc; Information & Form provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affair;  General Queensland Government Enquiries",,,,,,,,,,,,,,
Biloela,Service,QGAP,,60 Kariboe Street,Biloela,4715,-24.400826,150.513251,(07) 4992 8700,(07) 4992 1768,,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:30-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,,,,,TMR,"Birth, Death &  Marriage Certificate copies; Fair Trading Services - Industry Licensing Applications & Renewals, Incorporated Association Application & Renewals etc & Consumer complaints; Housing & Homelessness Services - Bond Loans etc; CTP Insurance; Land Tax Payments; Public Trustee - Write a Will; JP Services; Seniors Card; SPER Payments; Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,"Biloela is a rural town of 5400 people, is 95 km south-west of Gladstone.",5400
Birdsville ,Service,QGAP,Police Station,MacDonald Street,Birdsville,4482,-25.901947,139.349082,(07) 4656 3310,(07) 4656 3312,,9:00,13:00,Closed,Closed,9:00,13:00,9:00,13:00,9:00,13:00,,,,,QPS,"Housng & Homelessness Services - Bond Loans etc; Land Tax Payments; Transport Services - Licences, Infringements & Registrations etc; QPS - Weapons Licence etc; Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,,
Blackall,Service,QGAP,,Shamrock Street,Blackall,4472,-24.421675,145.45902,(07) 4657 4233,(07) 4657 4908,,9:00,16:30,9:00,16:30,9:00,16:30,9:00,16:30,9:00,16:30,,,,,DERM,"Birth, Death & Marriage Certificate copies; Housing & Homelessness Services - Bond Loans etc; Community Liquor Permits, Liquor & Gaming Infringements, Liquor & Gaming Licences; CTP Insurance; Transport  Services - Licences, Infringements & Registrations etc; Public Trustee -  Write a Will;  SPER Payments; Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,"Blackall, a rural town of 1400 people, is in central-western Queensland, between Longreach and Charleville and 500 km south-west of Rockhampton.",1400
