Australian Business Number (ABN),Legal entity,Legal entity postcode,Legal entity LGA,Service provider,Funding agency,Funding source,Funding title,Program title,Funding type,Funding terms,Funding agreement start,Funding agreement end,Funding agreement duration,Category,Tag 1,Tag 2,Client group,Purpose,Statewide,Service delivery LGA,Service delivery postcode,Longitude,Latitude,Total funding under this agreement,Previous financial year,Co-contribution,Website
32338490426,Aurukun Shire Council,4871,AURUKUN,Business Development Officer - Aurukun,DATSIMA,State,Indigenous Support,,Grant,Operational,1/08/2012,31/12/2013,Fixed term,Aboriginal and Torres Strait Islander peoples,Aboriginal and Torres Strait Islander,Community Development,,To provide welfare reform in the states Indigenous communities,No,Aurukun Shire,4871,,,20833,20833,0,
84302918893,Nigerian Community Association in Queensland,,,Multicultural Queensland Partnerships Program,DATSIMA,State,Multicultural Affairs Qld,,Grant,Operational,7/02/2013,31/12/2013,One-off,Aboriginal and Torres Strait Islander peoples,Multicultural Affairs,Community Support,,"The promotion of positive community relations, and strengthen Queenslanders' understanding of cultural diversity and its benefits.",No,Brisbane City,4103,,,1000,1000,0,
25254529402,Multicultural Communities Council Gold Coast Inc,4215,ASHMORE,CAMS Multicultural Community Worker,DATSIMA,State,Multicultural Affairs Qld,,Grant,Operational ,1/07/2012,30/06/2015,Fixed term,Community support,Multicultural Affairs ,Community Development,,"The promotion of positive community relations, and strengthen Queenslanders' understanding of cultural diversity and its benefits.",No,Brisbane City,4214,,,266733,88911,0,
0,Pacifika Limited,,,Multicultural Queensland Partnerships Program,DATSIMA,State,Multicultural Affairs Qld,,Grant,Operational,7/02/2013,31/12/2013,One-off,Aboriginal and Torres Strait Islander peoples,Multicultural Affairs,Community Support,,"The promotion of positive community relations, and strengthen Queenslanders' understanding of cultural diversity and its benefits.",No,Brisbane City,4214,,,2500,2500,0,
79178789935,Jabiru Community Youth & Childrens Serv Assoc Inc,4017,,Multicultural Queensland Partnerships Program,DATSIMA,State,Multicultural Affairs Qld,,Grant,Operational,7/02/2013,31/12/2013,One-off,Aboriginal and Torres Strait Islander peoples,Multicultural Affairs,Community Support,,"The promotion of positive community relations, and strengthen Queenslanders' understanding of cultural diversity and its benefits.",No,Brisbane City,4017,,,10000,10000,0,
20833580090,Queensland African Communities Council,,,Multicultural Queensland Partnerships Program,DATSIMA,State,Multicultural Affairs Qld,,Grant,Operational,7/02/2013,31/12/2013,One-off,Aboriginal and Torres Strait Islander peoples,Multicultural Affairs,Community Support,,"The promotion of positive community relations, and strengthen Queenslanders' understanding of cultural diversity and its benefits.",No,Brisbane City,4001,,,6000,6000,0,
83791724622,Queensland University of Technology,,,ASSI Scholarships Program,DATSIMA,State,Multicultural Affairs Qld,,Grant,Operational,1/07/2008,31/12/2015,One-off,Education and training,Multicultural Affairs,Community Development,,To provide scholarships to Australian South Sea Islander students to assist with their undergraduate university studies.,No,Brisbane City,4001,,,45000,12500,0,
72002765795,Brisbane City Council,4001,,LAMP Multicultural Policy Officer,DATSIMA,State,Multicultural Affairs Qld,,Grant,Operational ,1/07/2012,30/06/2015,Fixed term,Community support,Multicultural Affairs ,Community Development,,"The promotion of positive community relations, and strengthen Queenslanders' understanding of cultural diversity and its benefits.",No,Brisbane City,4000,,,133368,44456,0,
24535733198,Gereja Kristus Brisbane Incorporated,4000,BRISBANE CITY,Multicultural Queensland Partnerships Program,DATSIMA,State,Multicultural Affairs Qld,,Grant,Operational,7/02/2013,31/12/2013,One-off,Aboriginal and Torres Strait Islander peoples,Multicultural Affairs,Community Support,,"The promotion of positive community relations, and strengthen Queenslanders' understanding of cultural diversity and its benefits.",No,Brisbane City,4000,,,1000,1000,0,
44113242882,St Patricks Day Parade Association Incorporated,4000,BRISBANE CITY,Multicultural Queensland Partnerships Program,DATSIMA,State,Multicultural Affairs Qld,,Grant,Operational,7/12/2012,31/12/2013,One-off,Aboriginal and Torres Strait Islander peoples,Multicultural Affairs,Community Support,,"The promotion of positive community relations, and strengthen Queenslanders' understanding of cultural diversity and its benefits.",No,Brisbane City,4000,,,10000,10000,0,
94710251744,The Corporation of the Trustees of the Order of the Sisters of Mercy in Queensland,,,Multicultural Queensland Partnerships Program,DATSIMA,State,Multicultural Affairs Qld,,Grant,Operational,7/02/2013,31/12/2013,One-off,Aboriginal and Torres Strait Islander peoples,Multicultural Affairs,Community Support,,"The promotion of positive community relations, and strengthen Queenslanders' understanding of cultural diversity and its benefits.",No,Brisbane City,4102,,,1500,1500,0,
25016178213,Tamil Association Queensland Inc,4116,CALAMVALE,Multicultural Queensland Partnerships Program,DATSIMA,State,Multicultural Affairs Qld,,Grant,Operational,7/02/2013,31/12/2013,One-off,Aboriginal and Torres Strait Islander peoples,Multicultural Affairs,Community Support,,"The promotion of positive community relations, and strengthen Queenslanders' understanding of cultural diversity and its benefits.",No,Brisbane City,4116,,,2000,2000,0,
58660221760,Shree Sanatan Dharam Hindu Assoc of Queensland Inc,,,Multicultural Queensland Partnerships Program,DATSIMA,State,Multicultural Affairs Qld,,Grant,Operational,7/02/2013,31/12/2013,One-off,Aboriginal and Torres Strait Islander peoples,Multicultural Affairs,Community Support,,"The promotion of positive community relations, and strengthen Queenslanders' understanding of cultural diversity and its benefits.",No,Brisbane City,4170,,,2000,2000,0,
58660221760,Shree Sanatan Dharam Hindu Assoc of Queensland Inc,,,Multicultural Queensland Partnerships Program,DATSIMA,State,Multicultural Affairs Qld,,Grant,Operational,7/12/2012,31/12/2013,One-off,Aboriginal and Torres Strait Islander peoples,Multicultural Affairs,Community Support,,"The promotion of positive community relations, and strengthen Queenslanders' understanding of cultural diversity and its benefits.",No,Brisbane City,4170,,,1500,1500,0,
16939947760,Jewish Educational Institute Chabad House Brisbane Inc,,,Multicultural Queensland Partnerships Program,DATSIMA,State,Multicultural Affairs Qld,,Grant,Operational,7/02/2013,31/12/2013,One-off,Aboriginal and Torres Strait Islander peoples,Multicultural Affairs,Community Support,,"The promotion of positive community relations, and strengthen Queenslanders' understanding of cultural diversity and its benefits.",No,Brisbane City,4152,,,7000,7000,0,
26745853272,"Vedanta Centre of Sydney, Brisbane Chapter",4069,CHAPEL HILL,Multicultural Queensland Partnerships Program,DATSIMA,State,Multicultural Affairs Qld,,Grant,Operational,7/02/2013,31/12/2013,One-off,Aboriginal and Torres Strait Islander peoples,Multicultural Affairs,Community Support,,"The promotion of positive community relations, and strengthen Queenslanders' understanding of cultural diversity and its benefits.",No,Brisbane City,4069,,,1500,1500,0,
42098761456,SriLanka Society of Qld Inc,,,Multicultural Queensland Partnerships Program,DATSIMA,State,Multicultural Affairs Qld,,Grant,Operational,7/02/2013,31/12/2013,One-off,Aboriginal and Torres Strait Islander peoples,Multicultural Affairs,Community Support,,"The promotion of positive community relations, and strengthen Queenslanders' understanding of cultural diversity and its benefits.",No,Brisbane City,4002,,,1500,1500,0,
35762312453,Gujarati Association of Queensland Inc,4127,DAISY HILL,Multicultural Queensland Partnerships Program,DATSIMA,State,Multicultural Affairs Qld,,Grant,Operational,7/02/2013,31/12/2013,One-off,Aboriginal and Torres Strait Islander peoples,Multicultural Affairs,Community Support,,"The promotion of positive community relations, and strengthen Queenslanders' understanding of cultural diversity and its benefits.",No,Brisbane City,4127,,,1500,1500,0,
0,Queensland Rohingya Community Inc,4076,DARRA,Multicultural Queensland Partnerships Program,DATSIMA,State,Multicultural Affairs Qld,,Grant,Operational,7/12/2012,31/12/2013,One-off,Aboriginal and Torres Strait Islander peoples,Multicultural Affairs,Community Support,,"The promotion of positive community relations, and strengthen Queenslanders' understanding of cultural diversity and its benefits.",No,Brisbane City,4076,,,2000,2000,0,
69792802507,The Rwandan Association of Queensland Inc.,4007,DURACK,Multicultural Queensland Partnerships Program,DATSIMA,State,Multicultural Affairs Qld,,Grant,Operational,7/02/2013,31/12/2013,One-off,Aboriginal and Torres Strait Islander peoples,Multicultural Affairs,Community Support,,"The promotion of positive community relations, and strengthen Queenslanders' understanding of cultural diversity and its benefits.",No,Brisbane City,4077,,,1500,1500,0,
56010049206,Ethnic Broadcasting Association of Queensland Limited,,,Multicultural Queensland Partnerships Program,DATSIMA,State,Multicultural Affairs Qld,,Grant,Operational,7/02/2013,31/12/2013,One-off,Aboriginal and Torres Strait Islander peoples,Multicultural Affairs,Community Support,,"The promotion of positive community relations, and strengthen Queenslanders' understanding of cultural diversity and its benefits.",No,Brisbane City,4169,,,5000,5000,0,
80964149832,Brisbane Multicultural Arts Centre Inc,,,Multicultural Queensland Partnerships Program,DATSIMA,State,Multicultural Affairs Qld,,Grant,Operational,7/02/2013,31/12/2013,One-off,Aboriginal and Torres Strait Islander peoples,Multicultural Affairs,Community Support,,"The promotion of positive community relations, and strengthen Queenslanders' understanding of cultural diversity and its benefits.",No,Brisbane City,4169,,,7000,7000,0,
