Australian Business Number (ABN),Legal entity,Legal entity postcode,Legal entity LGA,Service provider,Funding agency,Funding source,Funding title,Program title,Funding type,Funding terms,Funding agreement start,Funding agreement end,Funding agreement duration,Category,Tag 1,Tag 2,Client group,Purpose,Statewide,Service delivery LGA,Service delivery postcode,Longitude,Latitude,Total funding under this agreement,Previous financial year,Co-contribution,Website
29076247836,Cape York/Gulf Remote Area Aboriginal and Torres Strait Islander Child Care Advisory Association Inc,,Cairns,RAATSICC - Ma'aathan - Women Shelter Aurukun,DCCSDS,State and Commonwealth,Homelessness,,Grant,Operational ,1/06/2012,30/06/2015,Ongoing,Homes and housing,Social Inclusion,Domestic Violence,,"To reduce both the number of homeless people and the number of people becoming homeless in Queensland by funding services that assist people to obtain and maintain housing, and to maximise their capacity to be independent, self-reliant and connection to appropriate social and community supports.",No,Aurukun Shire,,,,863131,268261,0,
32338490426,Aurukun Shire Council,,Aurukun,Aurukun Community Home Help Project,DCCSDS,State,Community Care,,Grant,Capital,1/06/2012,30/06/2013,Fixed Term,People with disability,Disability Services,Community Care,,"Community Care provides a broad range of low-intensity maintenance and support services to people aged under 65 who have a disability or condition that affects their ability to carry out activities of daily living, in order to support them to live independently in the community",No,Aurukun Shire,,,,4500000,2250000,0,
32338490426,Aurukun Shire Council,,Aurukun,,DCCSDS,State,Community Care,,Grant,Operational,1/07/2012,30/06/2013,Fixed Term,People with disability,Disability Services,Community Care,,"Community Care provides a broad range of low-intensity maintenance and support services to people aged under 65 who have a disability or condition that affects their ability to carry out activities of daily living, in order to support them to live independently in the community.",No,Aurukun Shire,,,,52499,52499,0,
32338490426,Aurukun Shire Council,,Aurukun,Business Development Officer - Aurukun,DATSIMA,State,Indigenous Support,,Grant,Operational,1/08/2012,31/12/2013,Fixed Term,Aboriginal and Torres Strait Islander peoples,Aboriginal & Torres Strait Islander,Community Development,,To provide welfare reform in the states Indigenous communities,No,Aurukun Shire,,,,20833,20833,0,
98142986767,ACT for Kids,,Milton,ACT for Kids - Aurukun Safe House,DCCSDS,State,Child Safety Placement Services,,Grant,Operational ,1/01/2012,31/12/2014,Ongoing,Parents and families,Child Safety,Placement Services,,"Provide places (accommodation and support) for children and young people who are unable to live at home.  A range of services are required to respond to the different levels of support needs of the child or young person and provide stable, quality care services. ",No,Aurukun Shire,,,,3418178,1103715,0,
98142986767,ACT for Kids,,Milton,ACT for Kids - Aurukun Safe House,DCCSDS,State,Child Safety Placement Services,,Grant,Operational ,1/01/2012,31/12/2014,Ongoing,Parents and families,Child Safety,Placement Services,,"Provide places (accommodation and support) for children and young people who are unable to live at home.  A range of services are required to respond to the different levels of support needs of the child or young person and provide stable, quality care services. ",No,Aurukun Shire,,,,3418178,1103715,0,
28953930342,Churches of Christ in Queensland,,Kenmore,Warrawee South West Healthy Ageing Program,DCCSDS,State,Seniors Participation & Support,,Grant,Operational ,1/07/2010,31/12/2014,Ongoing,Seniors,Social Inclusion,Older people services,,"To increase social and workforce participation, prevent elder abuse, provide information, improve health and wellbeing, safety and recognition of older people.",No,Balonne Shire,,,,255746,59936,0,
35337021639,Care Balonne Association Inc,,St George,St George Rural Family Support Service,DCCSDS,State,Child Safety Family Support Services,,Grant,Operational ,1/07/2012,30/06/2015,Ongoing,Parents and families,Child Safety,Family Support,,"Services target identified vulnerable children, young people and families and respond to a known risk or problem. The early intervention activities delivered address risks and resolve problems at an early stage. Services meet unmet needs, build capacity and resilience and enhance the wellbeing and safety of this target group.",No,Balonne Shire,,,,405324,135108,0,
35337021639,Care Balonne Association Inc,,St George,Care Balonne Community Support Service,DCCSDS,State,Community Support & Sector Development,,Grant,Operational ,1/01/2013,30/09/2015,Ongoing,Community support,Social Inclusion,Community Development,,"To provide pathways to access universal community support services and an entry point to more targeted support services as required.   Also to provide referral services, education and training sessions and sector support to community organisations and volunteers.",No,Balonne Shire,,,,336373,122409,0,
97075403959,Lifeline Darling Downs and South West Queensland Ltd,,Toowoomba City,St George Youth Development Service,DCCSDS,State,Youth Support,,Grant,Operational ,1/07/2012,30/06/2015,Ongoing,Youth,Social Inclusion,Youth Support,,To support young people across Queensland who are vulnerable and at risk of poor life outcomes through a range of services from preventative programs through to intensive support.,No,Balonne Shire,,,,332181,110727,0,
