Australian Business Number (ABN),Legal entity,Legal entity postcode,Legal entity LGA,Service provider,Funding agency,Funding source,Funding title,Program title,Funding type,Funding terms,Funding agreement start,Funding agreement end,Funding agreement duration,Category,Tag 1,Tag 2,Client group,Purpose,Statewide,Service delivery LGA,Service delivery postcode,Longitude,Latitude,Total funding under this agreement,Previous financial year,Co-contribution,Website
32338490426,Aurukun Shire Council,,AURUKUN,Koolkan Woyan Min Child Care & Family Support - CC Hub,DETE,State,Long Day Care (ATSI),,Grant,Operational,1/07/2012,30/06/2015,Fixed-term,Aboriginal and Torres Strait Islander peoples,Early Years,,,To provide early childhood development including early childhood education and  care  in remote Aboriginal and Torres Strait Island communities.,No,Aurukun Shire,,,,398294,112823,0,
32338490426,Aurukun Shire Council,,AURUKUN,Koolkan Woyan Min Child & Family Support,DETE,State,Long Day Care (ATSI),,Grant,Operational,1/07/2012,30/06/2015,Fixed-term,Aboriginal and Torres Strait Islander peoples,Early Years,,,To provide early childhood development including early childhood education and  care  in remote Aboriginal and Torres Strait Island communities.,No,Aurukun Shire,,,,296945,0,0,
32338490426,Aurukun Shire Council,,AURUKUN,Targeted Parenting Program - Aurukun Shire Council,DETE,State,Parenting Support,,Grant,Operational,1/08/2011,30/09/2014,Fixed-term,Parents and families,Early Years,,,To assist the organisation to provide targeted parenting programs and family support to Indigenous families in the local community.,No,Aurukun Shire,,,,267859,0,0,
32338490426,Aurukun Shire Council,,AURUKUN,Koolkan Woyan Min Child Care & Family Support - Vacation Care,DETE,state,Vacation Care Access,,Grant,Operational,1/07/2012,30/06/2015,Fixed-term,Parents and families,Early Years,,,"Vacation Care Access services offers support for targeted families, specifically for children with disabilities or Indigenous children, to access services during school holidays ",No,Aurukun Shire,,,,41866,6777,0,
30801872495,Bollon District Children's Residence Incorporated,,BOLLON,,DETE,Combined,Student Hostel Support Scheme (SHSS),,Grant,Operational and Capital,,,Ongoing,Community support,Accommodation,,,To provide financial assistance to eligible non-profit organisations providing hostel accommodation in rural areas to accommodate geographically isolated primary and secondary students (including students with disabilities) so they may have daily access to schools.,No,Balonne Shire,,,,0,36304,10612,http://education.qld.gov.au/schools/grants/other/hostel.html
82963420139,Biloela Community Pre-school & Kindergarten Association Inc,,BILOELA,Biloela Community Preschool  and Kindergarten,DETE,Commonwealth,Disability Support,,Grant,Operational,,,Fixed term,Education and training,Early Years,,,"To implement inclusive programs and practices, establish routines and curriculum adjustments to support access and participation for children with disability in the kindergarten program.",No,Banana Shire,,,,6000,6000,6000,
96694869060,Moura Community Kindergarten Inc,,MOURA,Moura Community Kindergarten,DETE,State,Disability Support,,Grant,Operational,,,Fixed term,Education and training,Early Years,,,"To implement inclusive programs and practices, establish routines and curriculum adjustments to support access and participation for children with disability in the kindergarten program.",No,Banana Shire,,,,6000,6000,0,
59150737849,The Creche and Kindergarten Association Limited,,BILOELA,C&K Coo-Inda Community Kindergarten,DETE,Commonwealth,Disability Support,,Grant,Operational,,,Fixed term,Education and training,Early Years,,,"To implement inclusive programs and practices, establish routines and curriculum adjustments to support access and participation for children with disability in the kindergarten program.",No,Banana Shire,,,,4000,4000,4000,
68824198372,Theodore Early Childhood Association Inc,,THEODORE,Theodore Early Childhood Centre,DETE,State,Limited Hours Care,,Grant,Operational,1/01/2013,31/12/2015,Fixed-term,Parents and families,Early Years,,,To support child care needs of disadvantaged families primarily located in rural and remote communities across Queensland where many have limited or no access to other early childhood education and care services.,No,Banana Shire,,,,107104,34673,0,
58009666193,Queensland Police Citizens Youth Welfare Association,,TINGALPA,Biloela PCYC Outside School Hours Care,DETE,State,School Aged Care,,Grant,Operational,27/08/2012,30/09/2015,Fixed-term,Parents and families,Early Years,,,"Funding to support the delivery of quality School Age Care  programs in Queensland in rural and remote communities, and small services with lower utilisation levels that may not be able to operate without this additional funding (Co-ordinator hours). Services are not-for-profit community based services providing care for school aged children.  ",No,Banana Shire,,,,29137,9140,0,
17027243182,Barcaldine Kindergarten Association Inc,,BARCALDINE,Barcaldine Kindergarten,DETE,Commonwealth,Disability Support,,Grant,Operational,,,Fixed term,Education and training,Early Years,,,"To implement inclusive programs and practices, establish routines and curriculum adjustments to support access and participation for children with disability in the kindergarten program.",No,Barcaldine Regional,,,,6000,6000,6000,
17027243182,Barcaldine Kindergarten Association Inc,,BARCALDINE,Barcaldine Limited Hours Care Service,DETE,State,Limited Hours Care,,Grant,Operational,1/01/2013,31/12/2015,Fixed-term,Parents and families,Early Years,,,To support child care needs of disadvantaged families primarily located in rural and remote communities across Queensland where many have limited or no access to other early childhood education and care services.,No,Barcaldine Regional,,,,105917,34289,0,
36154302599,Barcaldine Regional Council,,BARCALDINE,Jellybeans Community Centre Limited Hours Care Service,DETE,State,Limited Hours Care,,Grant,Operational,1/01/2013,31/12/2015,Fixed-term,Parents and families,Early Years,,,To support child care needs of disadvantaged families primarily located in rural and remote communities across Queensland where many have limited or no access to other early childhood education and care services.,No,Barcaldine Regional,,,,105914,34288,0,
21608706463,Al-Seraj Iraqi Ethnic School   ,,,,DETE,State,After Hours Ethnic Schooling Program (AHES),,Grant,Operational,,,Ongoing,Community support,Language Education,,,To build upon the language potential encountered in a number of community organisations and expand the number of Languages Other Than English (LOTE) currently offered to Queensland students.,No,Brisbane City,,,,6120,5310,,
41154140066,Asia Language Centre   ,,HOLLAND PARK,,DETE,State,After Hours Ethnic Schooling Program (AHES),,Grant,Operational,,,Ongoing,Community support,Language Education,,,To build upon the language potential encountered in a number of community organisations and expand the number of Languages Other Than English (LOTE) currently offered to Queensland students.,No,Brisbane City,,,,29038,23836,,
