Australian Business Number (ABN),Legal entity,Legal entity postcode,Legal entity LGA,Service provider,Funding agency,Funding source,Funding title,Program title,Funding type,Funding terms,Funding agreement start,Funding agreement end,Funding agreement duration,Category,Tag 1,Tag 2,Client group,Purpose,Statewide,Service delivery LGA,Service delivery postcode,Longitude,Latitude,Total funding under this agreement,Previous financial year,Co-contribution,Website
36154302599,BARCALDINE REGIONAL COUNCIL,4725,ALPHA,,DHPW,State,Grant Program - Home Assist Secure,,Grant,Operational,1/07/2012,30/06/2013,Fixed Term,Homes and housing,,,,Provides funding to non-government organisations and local governments to deliver critical maintenance services which assist older people and people with a disability to remain living in their home,No,Barcaldine Regional,,,,0,105770,0,http://www.hpw.qld.gov.au/
28123318767,4WALLS LTD,4102,WOOLLOONGABBA,,DHPW,State,Grant Program - Capital Investment Statewide,,Grant,Operational,1/07/2012,30/06/2013,Fixed Term,Homes and housing,,,,This program aids registered providers to deliver social housing assistance to eligible persons. Assistance may be long-term or as a transition to long-term social housing or other secure housing options. ,No,Brisbane City,,,,0,124247,0,http://www.hpw.qld.gov.au/
76004196068,INNER NORTHERN COMMUNITY HOUSING,4053,MITCHELTON,,DHPW,State,Grant Program - Capital Investment Statewide,,Grant,Operational,1/07/2012,30/06/2013,Fixed Term,Homes and housing,,,,This program aids registered providers to deliver social housing assistance to eligible persons. Assistance may be long-term or as a transition to long-term social housing or other secure housing options. ,No,Brisbane City,,,,0,50538,0,http://www.hpw.qld.gov.au/
16134647331,COMMON GROUND QUEENSLAND LTD,4101,SOUTH BRISBANE,,DHPW,State,Grant Program - Common Ground,,Grant,Operational,1/07/2012,30/06/2013,Fixed Term,Homes and housing,,,,To provide assistance to providers to provide a supportive housing service to Eligible Persons. The program aims to assist people who require the elements of Supportive Housing in order to sustain a tenancy. The program is part of the One Social Housing System.,No,Brisbane City,,,,0,590000,0,http://www.hpw.qld.gov.au/
28123318767,4 WALLS LTD ,4102,WOOLLOONGABBA,,DHPW,State,Grant Program - Community Rent Scheme,,Grant,Operational,1/07/2012,30/06/2013,Fixed Term,Homes and housing,,,,"Annual Grant to registered housing providers to deliver transitional housing assistance to Eligible Persons. The Department gives assistance through funding providers to lease properties from the private rental market.

",No,Brisbane City,,,,0,588977,0,http://www.hpw.qld.gov.au/
28123318767,4WALLS LTD,4102,WOOLLOONGABBA,,DHPW,State,Grant Program - Community Rent Scheme,,Grant,Operational,1/07/2012,30/06/2013,Fixed Term,Homes and housing,,,,"Annual Grant to registered housing providers to deliver transitional housing assistance to Eligible Persons. The Department gives assistance through funding providers to lease properties from the private rental market.

",No,Brisbane City,,,,0,1370117,0,http://www.hpw.qld.gov.au/
60128191882,BRIC HOUSING,4004,SPRING HILL,,DHPW,State,Grant Program - Community Rent Scheme,,Grant,Operational,1/07/2012,30/06/2013,Fixed Term,Homes and housing,,,,"Annual Grant to registered housing providers to deliver transitional housing assistance to Eligible Persons. The Department gives assistance through funding providers to lease properties from the private rental market.

",No,Brisbane City,,,,0,1196266,0,http://www.hpw.qld.gov.au/
28953930342,CHURCHES OF CHRIST,4069,KENMORE,,DHPW,State,Grant Program - Community Rent Scheme,,Grant,Operational,1/07/2012,30/06/2013,Fixed Term,Homes and housing,,,,"Annual Grant to registered housing providers to deliver transitional housing assistance to Eligible Persons. The Department gives assistance through funding providers to lease properties from the private rental market.

",No,Brisbane City,,,,0,190231,0,http://www.hpw.qld.gov.au/
57061035050,HORIZON HOUSING CO LTD,4215,SPRING HILL,,DHPW,State,Grant Program - Community Rent Scheme,,Grant,Operational,1/07/2012,30/06/2013,Fixed Term,Homes and housing,,,,"Annual Grant to registered housing providers to deliver transitional housing assistance to Eligible Persons. The Department gives assistance through funding providers to lease properties from the private rental market.

",No,Brisbane City,,,,0,867753,0,http://www.hpw.qld.gov.au/
76004196068,INNER NORTHERN COMMUNITY HOUSING,4053,MITCHELTON,,DHPW,State,Grant Program - Community Rent Scheme,,Grant,Operational,1/07/2012,30/06/2013,Fixed Term,Homes and housing,,,,"Annual Grant to registered housing providers to deliver transitional housing assistance to Eligible Persons. The Department gives assistance through funding providers to lease properties from the private rental market.

",No,Brisbane City,,,,0,957488,0,http://www.hpw.qld.gov.au/
89644327938,MANGROVE HOUSING ASSOCIATION INC,4178,WYNNUM,,DHPW,State,Grant Program - Community Rent Scheme,,Grant,Operational,1/07/2012,30/06/2013,Fixed Term,Homes and housing,,,,"Annual Grant to registered housing providers to deliver transitional housing assistance to Eligible Persons. The Department gives assistance through funding providers to lease properties from the private rental market.

",No,Brisbane City,,,,0,489486,0,http://www.hpw.qld.gov.au/
28953930342,CHURCHES OF CHRIST,4069,KENMORE,,DHPW,State,Grant Program - Drug Court,,Grant,Operational,1/07/2012,30/06/2013,Fixed Term,Homes and housing,,,,Grant funding to registered providers to lease and manage private properties for participants exiting residential services as part of the Drug Court Program. The program ceased in 2012-13.,No,Brisbane City,,,,0,55668,0,http://www.hpw.qld.gov.au/
57061035050,HORIZON HOUSING CO LTD,4215,SPRING HILL,,DHPW,State,Grant Program - Drug Court,,Grant,Operational,1/07/2012,30/06/2013,Fixed Term,Homes and housing,,,,Grant funding to registered providers to lease and manage private properties for participants exiting residential services as part of the Drug Court Program. The program ceased in 2012-13.,No,Brisbane City,,,,0,74823,0,http://www.hpw.qld.gov.au/
21066875107,ACRO INCORPORATED,4030,LUTWYCHE,,DHPW,State,Grant Program - Home Assist Secure,,Grant,Operational,1/07/2012,30/06/2013,Fixed Term,Homes and housing,,,,Provides funding to non-government organisations and local governments to deliver critical maintenance services which assist older people and people with a disability to remain living in their home,No,Brisbane City,,,,0,417187,0,http://www.hpw.qld.gov.au/
39906010979,ANGLICARE SOUTHERN QUEENSLAND,4120,BRISBANE,,DHPW,State,Grant Program - Home Assist Secure,,Grant,Operational,1/07/2012,30/06/2013,Fixed Term,Homes and housing,,,,Provides funding to non-government organisations and local governments to deliver critical maintenance services which assist older people and people with a disability to remain living in their home,No,Brisbane City,,,,0,78501,0,http://www.hpw.qld.gov.au/
28953930342,CHURCHES OF CHRIST,4069,KENMORE,,DHPW,State,Grant Program - Home Assist Secure,,Grant,Operational,1/07/2012,30/06/2013,Fixed Term,Homes and housing,,,,Provides funding to non-government organisations and local governments to deliver critical maintenance services which assist older people and people with a disability to remain living in their home,No,Brisbane City,,,,0,2182478,0,http://www.hpw.qld.gov.au/
65114782948,COMMUNIFY QUEENSLAND INC,4065,BARDON,,DHPW,State,Grant Program - Home Assist Secure,,Grant,Operational,1/07/2012,30/06/2013,Fixed Term,Homes and housing,,,,Provides funding to non-government organisations and local governments to deliver critical maintenance services which assist older people and people with a disability to remain living in their home,No,Brisbane City,,,,0,225061,0,http://www.hpw.qld.gov.au/
32025287736,CORP SYNOD DIOCESE BNE SANDGATE HAS,4120,BRISBANE,,DHPW,State,Grant Program - Home Assist Secure,,Grant,Operational,1/07/2012,30/06/2013,Fixed Term,Homes and housing,,,,Provides funding to non-government organisations and local governments to deliver critical maintenance services which assist older people and people with a disability to remain living in their home,No,Brisbane City,,,,0,251038,0,http://www.hpw.qld.gov.au/
32025287736,CORP SYNOD DIOCESE BNE-BNE NTH EAST,4120,BRISBANE,,DHPW,State,Grant Program - Home Assist Secure,,Grant,Operational,1/07/2012,30/06/2013,Fixed Term,Homes and housing,,,,Provides funding to non-government organisations and local governments to deliver critical maintenance services which assist older people and people with a disability to remain living in their home,No,Brisbane City,,,,0,455605,0,http://www.hpw.qld.gov.au/
35020644975,CORP TRUSTEES RC ARCH BRISBANE,4000,BRISBANE,,DHPW,State,Grant Program - Home Assist Secure,,Grant,Operational,1/07/2012,30/06/2013,Fixed Term,Homes and housing,,,,Provides funding to non-government organisations and local governments to deliver critical maintenance services which assist older people and people with a disability to remain living in their home,No,Brisbane City,,,,0,3313252,0,http://www.hpw.qld.gov.au/
64764139090,MOUNT GRAVATT COMMUNITY CENTRE INC.,4122,MOUNT GRAVATT,,DHPW,State,Grant Program - Home Assist Secure,,Grant,Operational,1/07/2012,30/06/2013,Fixed Term,Homes and housing,,,,Provides funding to non-government organisations and local governments to deliver critical maintenance services which assist older people and people with a disability to remain living in their home,No,Brisbane City,,,,0,559043,0,http://www.hpw.qld.gov.au/
14211506904,ST VINCENT DE PAUL,4101,SOUTH BRISBANE,,DHPW,State,Grant Program - Home Assist Secure,,Grant,Operational,1/07/2012,30/06/2013,Fixed Term,Homes and housing,,,,Provides funding to non-government organisations and local governments to deliver critical maintenance services which assist older people and people with a disability to remain living in their home,No,Brisbane City,,,,0,507780,0,http://www.hpw.qld.gov.au/
39206062402,THE CHERMSIDE & DISTRICT SENIOR CITIZENS CENTRE INC,4032,CHERMSIDE,,DHPW,State,Grant Program - Home Assist Secure,,Grant,Operational,1/07/2012,30/06/2013,Fixed Term,Homes and housing,,,,Provides funding to non-government organisations and local governments to deliver critical maintenance services which assist older people and people with a disability to remain living in their home,No,Brisbane City,,,,0,399698,0,http://www.hpw.qld.gov.au/
25548385225,UNITING CHURCH IN AUST PROP TRUST HAS,4001,MILTON BC,,DHPW,State,Grant Program - Home Assist Secure,,Grant,Operational,1/07/2012,30/06/2013,Fixed Term,Homes and housing,,,,Provides funding to non-government organisations and local governments to deliver critical maintenance services which assist older people and people with a disability to remain living in their home,No,Brisbane City,,,,0,777345,0,http://www.hpw.qld.gov.au/
