Australian Business Number (ABN),Legal entity,Legal entity postcode,Legal entity LGA,Service provider,Funding agency,Funding source,Funding title,Program title,Funding type,Funding terms,Funding agreement start,Funding agreement end,Funding agreement duration,Category,Tag 1,Tag 2,Client group,Purpose,Statewide,Service delivery LGA,Service delivery postcode,Longitude,Latitude,Total funding under this agreement,Previous financial year,Co-contribution,Website
32386819373,Aurukun Community Indigenous Corporation,,AURUKUN,,DJAG,State,Community Justice Groups,,Grant,Operational,1/07/2012,30/06/2013,12 months,"Your rights, crime and the law",,,,To provide funding for services and support to reduce Indigenous contact with the criminal justice system and support victims of crime,No,Aurukun Shire,,,,98000,98000,,
22621683521,The Queensland Country Women's Association,,FORTITUDE VALLEY,Dirranbandi Branch ,DJAG,State,Gambling Community Benefit Fund - Round 73,,Grant,Operational,23/09/2012,2/10/2013,12 months,Community support,,,,Upgrade Facilities,No,Balonne Shire,,,,23500,23500,,http://www.olgr.grants.qld.gov.au/
58321433244,Mungindi Community Pre-School Inc  ,,MUNGINDI,,DJAG,State,Gambling Community Benefit Fund - Round 73,,Grant,Operational,23/09/2012,2/10/2013,12 months,Community support,,,,INSTALL PLAYGROUND AND SOFTFALL,No,Balonne Shire,,,,6690,6690,,http://www.olgr.grants.qld.gov.au/
32025287736,The Corporation Of The Synod Of The Diocese Of Brisbane,,BRISBANE CITY,Anglican Parish of St George with Dirrinbandi,DJAG,State,Gambling Community Benefit Fund - Round 73,,Grant,Operational,18/12/2012,10/01/2014,12 months,Community support,,,,UPGRADE COMMUNITY HALL,No,Balonne Shire,,,,2927,2927,,http://www.olgr.grants.qld.gov.au/
36407682750,St George Netball Association Inc  ,,ST GEORGE,,DJAG,State,Gambling Community Benefit Fund - Round 73,,Grant,Operational,23/09/2012,2/10/2013,12 months,Community support,,,,PURCHASE SPORTING EQUIPMENT,No,Balonne Shire,,,,31818,31818,,http://www.olgr.grants.qld.gov.au/
12925661626,St George Polocrosse Club Inc  ,,ST GEORGE,,DJAG,State,Gambling Community Benefit Fund - Round 73,,Grant,Operational,18/12/2012,10/01/2014,12 months,Community support,,,,REPLACE WATER TANK PLAYGROUND AND SIGN,No,Balonne Shire,,,,21507,21507,,http://www.olgr.grants.qld.gov.au/
80180917496,Playgroup Association Of Qld Inc  ,,ENOGGERA,Boolba Playgroup  ,DJAG,State,Gambling Community Benefit Fund - Round 74,,Grant,Operational,8/04/2013,17/04/2014,12 months,Community support,,,,UPGRADE PLAYGROUND AND PURCHASE TOYS,No,Balonne Shire,,,,31818,31818,,http://www.olgr.grants.qld.gov.au/
11064780067,Dirranbandi Arts Council Inc  ,,DIRRANBANDI,,DJAG,State,Gambling Community Benefit Fund - Round 76,,Grant,Operational,19/06/2013,24/06/2014,12 months,Community support,,,,EQUIPMENT FOR HISTORY RECORDING WORKSHOP,No,Balonne Shire,,,,6767,6767,,http://www.olgr.grants.qld.gov.au/
23089465799,Inglestone Golf Club Inc  ,,MEANDARRA,,DJAG,State,Gambling Community Benefit Fund - Round 76 ,,Grant,Operational,19/06/2013,24/06/2014,12 months,Community support,,,,PURCHASE RIDE ON MOWER,No,Balonne Shire,,,,31818,31818,,http://www.olgr.grants.qld.gov.au/
88746200641,Dirranbandi Cts Sports Association Incorporated,,DIRRANBANDI,,DJAG,State,Jupiters Casino Community Benefit Fund - Round 80,,Grant,Operational,8/04/2013,17/04/2014,12 months,Community support,,,,TOWARDS Ct RESURFACING,No,Balonne Shire,,,,31818,31818,,http://www.olgr.grants.qld.gov.au/
