Australian Business Number (ABN),Legal entity,Legal entity postcode,Legal entity LGA,Service provider,Funding agency,Funding source,Funding title,Program title,Funding type,Funding terms,Funding agreement start,Funding agreement end,Funding agreement duration,Category,Tag 1,Tag 2,Client group,Purpose,Statewide,Service delivery LGA,Service delivery postcode,Longitude,Latitude,Total funding under this agreement,Previous financial year,Co-contribution,Website
32338490426,Aurukun Shire Council,,,Aurukun Shire Council,QH,State,Indigenous Health,,Service procurement,Operational,01/07/2011,30/06/2013,ongoing,Health and wellbeing,Indigenous Health,Public health,,Funding for managing Environmental issues that impact on health in Aboriginal and Torres Strait Islander Communities,No,Aurukun Shire,,,,277406,141256,,
85946116646,Banana Shire Council,,,Banana Shire Council,QH,State,Children's Health,,Service procurement,Operational,17/11/2011,30/04/2013,ongoing,Health and wellbeing,Children's Health,School-based vaccination,,The School Based Vaccination Program provides parents with the opportunity to have their child vaccinated for free and is offered to all Queensland secondary schools.,No,Banana Shire,,,,10216,5108,,
69010187407,Theodore Medical Pty. Ltd.,,,Theodore Medical Pty. Ltd.,QH,State,Children's Health,,Service procurement,Operational,01/01/2013,31/12/2015,ongoing,Health and wellbeing,Children's Health,School-based vaccination,,The School Based Vaccination Program provides parents with the opportunity to have their child vaccinated for free and is offered to all Queensland secondary schools.,No,Banana Shire,,,,806,806,,
71448628931,Central Queensland Rural Division of General Practice,,,Central Queensland Rural Division of General Practice Assn Inc,QH,State,Indigenous Health,,Service procurement,Operational,01/07/2012,30/09/2012,ongoing,Health and wellbeing,Indigenous Health,Primary health,,Indigenous Child and Maternal Health,No,Banana Shire,,,,22335,22335,,
71448628931,Central Queensland Rural Division of General Practice,,,Central Queensland Rural Division of General Practice Assn Inc,QH,State,Indigenous Health,,Service procurement,Operational,01/07/2012,30/09/2012,ongoing,Health and wellbeing,Indigenous Health,Primary health,,Indigenous Child and Maternal Health,No,Banana Shire,,,,22335,22335,,
69010187407,Theodore Medical Pty. Ltd.,,,Theodore Medical Pty. Ltd.,QH,State,Indigenous Health,,Service procurement,Operational,17/11/2011,28/02/2013,ongoing,Health and wellbeing,Children's Health,School-based vaccination,,The School Based Vaccination Program provides parents with the opportunity to have their child vaccinated for free and is offered to all Queensland secondary schools.,No,Banana Shire,,,,1014,507,,
71448628931,Central Queensland Rural Division of General Practice,,,Central Queensland Rural Division of General Practice Assn Inc,QH,State,Preventive Health,,Service procurement,Operational,01/07/2012,30/09/2012,ongoing,Health and wellbeing,Preventive Health,Health Promotion,,"The Chronic Disease Healthworker Positions funding is allocated to Non-government Organisations to employ positions involved in a variety of screening services throughout Queensland in the areas of nutrition, physical activity, alcohol, child health and sexual and reproductive health to support the implementation of the Queensland Strategy for Chronic Disease.",No,Banana Shire,,,,28838,28838,,
71448628931,Central Queensland Rural Division of General Practice,,,Central Queensland Rural Division of General Practice Assn Inc,QH,State,Preventive Health,,Service procurement,Operational,01/07/2012,30/09/2012,ongoing,Health and wellbeing,Preventive Health,Health Promotion,,"The Chronic Disease Healthworker Positions funding is allocated to Non-government Organisations to employ positions involved in a variety of screening services throughout Queensland in the areas of nutrition, physical activity, alcohol, child health and sexual and reproductive health to support the implementation of the Queensland Strategy for Chronic Disease.",No,Banana Shire,,,,28030,28030,,
40084136508,Aboriginal & Torres Strait Islander Community Health Service Brisbane Ltd.,,,Aboriginal & Torres Strait Islander Community Health Service Brisbane,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/09/2012,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,"The Alcohol, Tobacco and Other Drugs State Funding Program aims to minimise the harm associated with alcohol, tobacco and other drug use in Queensland. ",No,Brisbane City,,,,23169,23169,,
61250757901,Alcohol and Drug Foundation Queensland,,,Alcohol and Drug Foundation Queensland,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,"Illicit Drug Diversion Initiative funding is for the provision of appropriate assessment, education and treatment programs for cannabis offenders who meet the strict eligibility criteria, to be diverted from the criminal justice system through attendance at a Drug Diversion Assessment Program.",No,Brisbane City,,,,751739,751739,,
61250757901,Alcohol and Drug Foundation Queensland,,,Alcohol and Drug Foundation Queensland,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,"The Alcohol, Tobacco and Other Drugs State Funding Program aims to minimise the harm associated with alcohol, tobacco and other drug use in Queensland. ",No,Brisbane City,,,,89701,89701,,
61250757901,Alcohol and Drug Foundation Queensland,,,Alcohol and Drug Foundation Queensland,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,"The Drug Court Trial involves the diversion of drug dependent offenders to treatment and rehabilitation programs. Funding is provided to the non-government sector to provide alcohol and drug rehabilitation services and to the government sector to provide assessment, coordination, referral and detoxification services.",No,Brisbane City,,,,300811,300811,,
61250757901,Alcohol and Drug Foundation Queensland,,,Alcohol and Drug Foundation Queensland,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,The Ice Breaker Initiative funding is to enhance alcohol and other drug treatment services for young people throughout Queensland aged between 12 and 24 years.,No,Brisbane City,,,,266546,266546,,
61250757901,Alcohol and Drug Foundation Queensland,,,Alcohol and Drug Foundation Queensland,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,The Magistrates Referral Into Treatment budget aims to help drug offenders to overcome their problematic drug use and end their associated criminal behaviour through court enforced and supervised treatment programs.,No,Brisbane City,,,,110104,110104,,
61250757901,Alcohol and Drug Foundation Queensland,,,Alcohol and Drug Foundation Queensland,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Residential treatment services,,"The National Drug Strategy funding program is a joint funding program between Commonwealth Department of Health and Ageing and Queensland Health to minimise the harm associated with alcohol, tobacco and other drug use in Queensland. ",No,Brisbane City,,,,612482,612482,,
61250757901,Alcohol and Drug Foundation Queensland,,,Alcohol and Drug Foundation Queensland,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,The Alcohol and Drug Treatment Program aims to minimise the harm associated with alcohol other drug use in Queensland. ,No,Brisbane City,,,,134851,134851,,
61250757901,Alcohol and Drug Foundation Queensland,,,Alcohol and Drug Foundation Queensland,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,The Alcohol and Drug Treatment Program aims to minimise the harm associated with alcohol other drug use in Queensland. ,No,Brisbane City,,,,147588,147588,,
61250757901,Alcohol and Drug Foundation Queensland,,,Alcohol and Drug Foundation Queensland,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,The Alcohol and Drug Treatment Program aims to minimise the harm associated with alcohol other drug use in Queensland. ,No,Brisbane City,,,,137741,137741,,
61250757901,Alcohol and Drug Foundation Queensland,,,Alcohol and Drug Foundation Queensland,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,The Alcohol and Drug Treatment Program aims to minimise the harm associated with alcohol other drug use in Queensland. ,No,Brisbane City,,,,135506,135506,,
61250757901,Alcohol and Drug Foundation Queensland,,,Alcohol and Drug Foundation Queensland,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,The Alcohol and Drug Treatment Program aims to minimise the harm associated with alcohol other drug use in Queensland. ,No,Brisbane City,,,,142139,142139,,
61250757901,Alcohol and Drug Foundation Queensland,,,Alcohol and Drug Foundation Queensland,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,The Alcohol and Drug Treatment Program aims to minimise the harm associated with alcohol other drug use in Queensland. ,No,Brisbane City,,,,129125,129125,,
61250757901,Alcohol and Drug Foundation Queensland,,,Alcohol and Drug Foundation Queensland,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,The Alcohol and Drug Treatment Program aims to minimise the harm associated with alcohol other drug use in Queensland. ,No,Brisbane City,,,,135150,135150,,
61250757901,Alcohol and Drug Foundation Queensland,,,Alcohol and Drug Foundation Queensland,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,The Alcohol and Drug Treatment Program aims to minimise the harm associated with alcohol other drug use in Queensland. ,No,Brisbane City,,,,126932,126932,,
61250757901,Alcohol and Drug Foundation Queensland,,,Alcohol and Drug Foundation Queensland,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,The Alcohol and Drug Treatment Program aims to minimise the harm associated with alcohol other drug use in Queensland. ,No,Brisbane City,,,,138026,138026,,
61250757901,Alcohol and Drug Foundation Queensland,,,Alcohol and Drug Foundation Queensland,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,The Alcohol and Drug Treatment Program aims to minimise the harm associated with alcohol other drug use in Queensland. ,No,Brisbane City,,,,132242,132242,,
61250757901,Alcohol and Drug Foundation Queensland,,,Alcohol and Drug Foundation Queensland,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,The Alcohol and Drug Treatment Program aims to minimise the harm associated with alcohol other drug use in Queensland. ,No,Brisbane City,,,,132242,132242,,
61250757901,Alcohol and Drug Foundation Queensland,,,Alcohol and Drug Foundation Queensland,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,The Alcohol and Drug Treatment Program aims to minimise the harm associated with alcohol other drug use in Queensland. ,No,Brisbane City,,,,147240,147240,,
66057731192,Australian Drug Foundation Inc,,,Australian Drug Foundation Inc,QH,State,Alcohol and Other Drugs,,Grant,Operational,01/07/2012,30/09/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,"The Alcohol, Tobacco and Other Drugs State Funding Program aims to minimise the harm associated with alcohol, tobacco and other drug use in Queensland. ",Yes,Brisbane City,,,,471590,471590,,
11102379386,BoysTown,,,BoysTown,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,The Ice Breaker Initiative funding is to enhance alcohol and other drug treatment services for young people throughout Queensland aged between 12 and 24 years.,No,Brisbane City,,,,319854,319854,,
83967756338,Brisbane Youth Service Inc,,,Brisbane Youth Service Inc,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,"The Alcohol, Tobacco and Other Drugs State Funding Program aims to minimise the harm associated with alcohol, tobacco and other drug use in Queensland. ",No,Brisbane City,,,,110033,110033,,
83967756338,Brisbane Youth Service Inc,,,Brisbane Youth Service Inc,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,The Ice Breaker Initiative funding is to enhance alcohol and other drug treatment services for young people throughout Queensland aged between 12 and 24 years.,No,Brisbane City,,,,159927,159927,,
83605426759,Department of Health (Commonwealth),,,Department of Health,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,"The Indigenous Welfare Reform funding program is part of a joint Commonwealth/State Governments investment strategy to support the trial of a number of alcohol and welfare reform initiatives with four Indigenous communities in Cape York.  The trial aims to restore social norms through a number of measures designed to encourage community members at the individual, family/household and community levels to participate in education and employment, fulfil parental responsibilities and make healthy lifestyle choices.",No,Brisbane City,,,,275570,275570,,
83605426759,Department of Health (Commonwealth),,,Department of Health,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,"The Indigenous Welfare Reform funding program is part of a joint Commonwealth/State Governments investment strategy to support the trial of a number of alcohol and welfare reform initiatives with four Indigenous communities in Cape York.  The trial aims to restore social norms through a number of measures designed to encourage community members at the individual, family/household and community levels to participate in education and employment, fulfil parental responsibilities and make healthy lifestyle choices.",No,Brisbane City,,,,275570,275570,,
83605426759,Department of Health (Commonwealth),,,Department of Health,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,"The Indigenous Welfare Reform funding program is part of a joint Commonwealth/State Governments investment strategy to support the trial of a number of alcohol and welfare reform initiatives with four Indigenous communities in Cape York.  The trial aims to restore social norms through a number of measures designed to encourage community members at the individual, family/household and community levels to participate in education and employment, fulfil parental responsibilities and make healthy lifestyle choices.",No,Brisbane City,,,,275570,275570,,
83605426759,Department of Health (Commonwealth),,,Department of Health,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,"The Indigenous Welfare Reform funding program is part of a joint Commonwealth/State Governments investment strategy to support the trial of a number of alcohol and welfare reform initiatives with four Indigenous communities in Cape York.  The trial aims to restore social norms through a number of measures designed to encourage community members at the individual, family/household and community levels to participate in education and employment, fulfil parental responsibilities and make healthy lifestyle choices.",No,Brisbane City,,,,275570,275570,,
