Title,Location,Address 1,Address 2,Suburb,Postcode,Postal address 1,Postal address 2,Postal suburb,Postal postcode,Latitude,Longitude,Phone,Fax,Email,Operating hours,Mon am,Mon pm,Tues am,Tues pm,Wed am,Wed pm,Thurs am,Thurs pm,Fri am,Fri pm,Sat am,Sat pm,Sun am,Sun pm,Agency,Services,Facilities
Atherton Magistrates Court,Atherton,81 Main Street,,Atherton ,4883,PO Box 912,,ATHERTON,4883,-17.266429,145.474815,(07) 4091 9210,(07) 4091 9211,courthouse.atherton@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Ayr Magistrates Court,Ayr,163 Queen Street,,Ayr ,4807,PO Box 594,,AYR,4807,-19.576835,147.403959,(07) 4761 2050,(07) 4761 2057,courthouse.ayr@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Barcaldine Magistrates Court,Barcaldine,65 Ash Street,,Barcaldine ,4725,PO Box 13,,BARCALDINE,4725,-23.553702,145.290202,(07) 4651 1191,(07) 4651 2021,courthouse.barcaldine@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Beaudesert Magistrates Court,Beaudesert,29 William Street,,Beaudesert ,4285,PO Box 14,,BEAUDESERT,4285,-27.990289,152.998346,(07) 5542 2055,(07) 5542 2050,courthouse.beaudesert@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Beenleigh District Court,Beenleigh,Cnr Kent and James Streets,,Beenleigh,4207,PO Box 383,,BEENLEIGH,4207,-27.718785,153.198457,(07) 3884 7512,(07) 3884 7544,courthouse.beenleigh@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,"Wi-Fi
Videoconferencing
Remote witness room"
Beenleigh Magistrates Court,Beenleigh,Cnr Kent and James Streets,,Beenleigh,4207,PO Box 383,,BEENLEIGH,4207,-27.718785,153.198457,(07) 3884 7500,(07) 3884 7544,courthouse.beenleigh@justice.qld.gov.au ,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,"Wi-Fi
Videoconferencing
Remote witness room"
Biloela Magistrates Court,Biloela,Cnr Grevillea and Melton Streets,,Biloela,4715,PO Box 781,,BILOELA,4715,-24.399813,150.512667,(07) 4992 0700,(07) 4992 0705,courthouse.biloela@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Blackall Magistrates Court,Blackall,Shamrock Street,,Blackall,4472,PO Box 133,,BLACKALL,4472,-24.424342,145.466043,(07) 4657 4233,(07) 4657 4908,,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Blackwater Magistrates Court,Backwater,6 Blain Street,,Blackwater,4717,PO Box 120,,BLACKWATER,4717,-23.576108,148.889029,(07) 4982 5537,(07) 4982 6313,courthouse.blackwater@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Bowen District Court,Bowen,Herbert Street,,Bowen ,4805,PO Box 205,,BOWEN ,4805,-20.012195,148.246291,(07) 4786 1777,(07) 4786 2464,Courthouse.bowen@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,"Videoconferencing
Remote witness room"
