Title,Description,Keywords,Address 1,Address 2,Suburb,Postcode,Postal address 1,Postal address 2,Postal suburb,Postal postcode,Latitude,Longitude,Phone,Fax,Email,Mon am,Mon pm,Tues am,Tues pm,Wed am,Wed pm,Thurs am,Thurs pm,Fri am,Fri pm,Sat am,Sat pm,Sun am,Sun pm,Closure,Services,Comments
Redbank Select Service Centre,"Redbank Plaza Shopping Centre Services: driver license, boat license, registration, industry licensing, pre-registration inspections","driver license, boat license, registration, industry licensing, pre-registration inspections","Redbank Plaza Shopping Centre, Shop 221, Level 2",1 Collingwood Drive,Redbank,4301,PO Box 631,,Ipswich,4305,-27.605604,152.867855,13 23 80,(07) 3818 6774,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,24/12/2012-1/1/2013,driver licensing; boat licensing; transfer and renewal of registration of vehicles and vessels; this centre does not conduct any pre-registration inspections,
Burleigh Waters Transport and Main Roads Customer Service Centre,"1 Santa Maria Crt and Piper St Services: driver license, boat license, registration, industry licensing, pre-registration inspections","driver license, boat license, registration, industry licensing, pre-registration inspections",Burleigh Home Space,1 Santa Maria Court,Burleigh Waters,4220,PO Box 397,,Currumbin Waters,4223,-28.07721236,153.4231087,13 23 80,(07) 5535 4954,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,25/12/2012-26/12/2012; 1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for light vehicles less than 4.5 tonne gross vehicle mass and motorcycles only,
Currumbin Transport and Main Roads Waters Customer Service Centre,"109 Currumbin Creek Rd Services: driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, motorcycles, motorbikes","driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, motorcycles, motorbikes",Unit 3,109 Currumbin Creek Road,Currumbin Waters,4223,PO Box 397,,Currumbin Waters,4223,-28.149159,153.470411,13 23 80,(07) 5534 2950,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,24/12/2012-1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for light vehicles less than 4.5 tonne gross vehicle mass and motorcycles only; this centre does not conduct pre-registration inspections for trailers,
Kingaroy Transport and Main Roads Customer Service Centre,"Artie Kerr Building Services: driver license, boat license, registration, industry licensing, pre-registration inspections","driver license, boat license, registration, industry licensing, pre-registration inspections",Artie Kerr Building,130 Kingaroy Street,Kingaroy,4610,PO Box 504,,Kingaroy,4610,-26.5418332,151.8395109,(07) 4162 6800,(07) 4162 2082,,8:30,16:00,8:30,16:00,9:30,16:00,8:30,16:00,8:30,16:00,,,,,24/12/2012-30/12/2012; 1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for vehicles less than 4.5 tonne gross vehicle mass and motorcycles only; this centre does not conduct pre-registration inspections for trailers,
Cairns Passenger Transport Office,"15 Lake St Services: driver authorisations, operator accreditations","driver authorisations, operator accreditations",Level 9 Corporate Tower,15 Lake Street,Cairns,4870,PO Box 6542,,Cairns,4870,-16.92523,145.778013,13 23 80,(07) 4040 6380,,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,,,,,24/12/2012-1/1/2013; 19/7/2013,"assistance with driver authorisations, operator accreditations and other services",
Cairns Bentley Park Passenger Transport Office,"15 Lake St Services: driver authorisations, operator accreditations","driver authorisations, operator accreditations",Level 9 Corporate Tower,15 Lake Street,Cairns,4870,PO Box 6542,,Cairns,4870,-16.92523,145.778013,13 23 80,(07) 4040 6380,,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,,,,,24/12/2012-1/1/2013; 19/7/2013,"assistance with driver authorisations, operator accreditations and other services",
Mount Isa Transport and Main Roads Customer Service Centre,"29 Simpson St Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests","driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests",Shop 1,29 Simpson St,Mount Isa,4825,Locked Mail Bag 80,,Mount Isa,4825,-20.72551282,139.4941214,13 23 80,(07) 4743 6120,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,25/12/2012-26/12/2012; 1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; practical driver testing for all licence classes; this centre conducts pre-registration inspections for light vehicles less than 4.5 tonnes and motorcycles in fine weather only; this centre does not conduct pre-registration inspections for trailers,
Rockhampton Passenger Transport Office,"31 Knight St Services: driver authorisations, operator accreditations","driver authorisations, operator accreditations",Floor 1,31 Knight Street,North Rockhampton,4701,PO Box 5096,,Red Hill Rockhampton,4701,-23.36297131,150.5137394,(07) 4931 1538,(07) 4922 8253,,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,,,,,,"assistance with driver authorisations, operator accreditations and other services",
Rockhampton School Transport Office,"31 Knight St Services: School Transport Assistance Scheme, Code Of Conduct for School Children Travelling on Buses, School Bus Upgrade Scheme","School Transport Assistance Scheme, Code Of Conduct for School Children Travelling on Buses, School Bus Upgrade Scheme",Floor 1,31 Knight Street,North Rockhampton,4701,PO Box 5096,,Red Hill Rockhampton,4701,-23.36297131,150.5137465,(07) 4931 1538,(07) 4922 8253,,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,,,,,,"assistance on School Transport Assistance Scheme, the Code Of Conduct For School Children Travelling On Buses and the School Bus Upgrade Scheme.",
Carseldine Transport and Main Roads Customer Service Centre,"Corner Dorville and Beams Rd Services: driver license, boat license, registration, industry licensing","driver license, boat license, registration, industry licensing","Enter via Beams Road, take first right then next left.",532 Beams Road,Carseldine,4034,PO Box 156,,Zillmere,4034,-27.3487942,153.0237975,13 23 80,(07) 3863 9854,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services,
Macgregor Transport and Main Roads Customer Service Centre,"Kessels Ct Services: driver license, boat license, registration, industry licensing, pre-registration inspections","driver license, boat license, registration, industry licensing, pre-registration inspections",Kessels Court,567 Kessels Road,Macgregor,4109,PO Box 2167,,Mansfield,4122,-27.562781,153.071487,13 23 80,(07) 3347 7876,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,24/12/2012-1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for light vehicles less than 4.5 tonne gross vehicle mass and motorcycles only; this centre does not conduct pre-registration inspections for trailers,
Winton Queensland Government Agent Program Office,"Winton Court House Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests","driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests, QGAP",Winton Court House,59 Vindex Street,Winton,4735,PO Box 427,,Winton,4735,-22.388826,143.038759,(07) 4657 1536,(07) 4657 1583,,8:30,16:00,8:30,16:00,8:30,16:00,8:30,16:00,8:30,16:00,,,,,25/12/2012-26/12/2012; 1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for all vehicles in fine weather only; practical driver testing for all licence classes,
