Title,Address,Suburb,State,Postcode,Latitude,Longitude,Exact date to commence Ryan's Rule,First contact name,First contact phone,First contact email,First contact hospital email,Second contact name,Second contact phone,Second contact email,Second contact hospital email,Third contact name,Third contact phone,Third contact email,Third contact hospital email
Augathella Hospital,Cavanagh St,Augathella,QLD,4477,-25.795636,146.590523,16/12/2013,Dr Tom Gibson-EDMS South West HHS,459992771,,tom_gibson@health.qld.gov.au,Dr Cameron Bardsley- DMS St George,419708311,,tom_gibson@health.qld.gov.au,Dr Llewyn Waters A/DMS Charleville,428423236,,tom_gibson@health.qld.gov.au
Baralaba Hospital,Stopford Street,Baralaba,QLD,4702,-24.184268,149.809586,27/12/2013,Director of Medical Services-Rockhampton Hospital,0749206211 - switch,,cgqsu@health.qld.gov.au,Director of Medical Services (DMS)-Gladstone Hospital,0749206211 - switch,,cgqsu@health.qld.gov.au,Executive Director of Medical Services  (EDMS)-Central Queensland HHS,0749206211 - switch,,cgqsu@health.qld.gov.au
Biloela Hospital,2 Hospital Road,Biloela,QLD,4715,-24.395813,150.517491,27/12/2013,Director of Medical Services-Rockhampton Hospital,0749206211 - switch,,cgqsu@health.qld.gov.au,Director of Medical Services (DMS)-Gladstone Hospital,0749206211 - switch,,cgqsu@health.qld.gov.au,Executive Director of Medical Services  (EDMS)-Central Queensland HHS,0749206211 - switch,,cgqsu@health.qld.gov.au
Blackwater Hospital,,,,,,,27/12/2013,Director of Medical Services-Rockhampton Hospital,0749206211 - switch,,cgqsu@health.qld.gov.au,Director of Medical Services (DMS)-Gladstone Hospital,0749206211 - switch,,cgqsu@health.qld.gov.au,Executive Director of Medical Services  (EDMS)-Central Queensland HHS,0749206211 - switch,,cgqsu@health.qld.gov.au
Caboolture Hospital,,,,,,,19/06/2014,Patient Flow Manager (Mon-Fri - business hours)-Caboolture Hospital,754338975,elizabeth.cooper2@health.qld.gov.au,REDH_SQ&PU@health.qld.gov.au,After Hours Hospital Coordinator-Caboolture Hospital,754338218,elizabeth.cooper2@health.qld.gov.au,REDH_SQ&PU@health.qld.gov.au,Director of Medical Services-Caboolture Hospital,0754338888 - switch,elizabeth.cooper2@health.qld.gov.au,REDH_SQ&PU@health.qld.gov.au
Carrara Health Centre,,,,,,,5/02/2014,,,,,,,,,,,,
Charleville Hospital,,,,,,,16/12/2013,Dr Tom Gibson-EDMS South West HHS,459992771,,tom_gibson@health.qld.gov.au,Dr Cameron Bardsley- DMS St George,419708311,,tom_gibson@health.qld.gov.au,Dr Llewyn Waters A/DMS Charleville,428423236,,tom_gibson@health.qld.gov.au
Cherbourg Hospital,,,,,,,20/01/2014,Dr Peter Gilllies,429591006,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au,Dr Hwee Sin Chong,427129765,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au,Dr Martin Byrne,408447989,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au
Chinchilla Hospital,,,,,,,20/01/2014,Dr Peter Gilllies,429591006,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au,Dr Hwee Sin Chong,427129765,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au,Dr Martin Byrne,408447989,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au
Cunnamulla Hospital,,,,,,,16/12/2013,Dr Tom Gibson-EDMS South West HHS,459992771,,tom_gibson@health.qld.gov.au,Dr Cameron Bardsley- DMS St George,419708311,,tom_gibson@health.qld.gov.au,Dr Llewyn Waters A/DMS Charleville,428423236,,
