Business_Key (BS),TradingName (BS),WebsiteUrl (BS),Discount_Key (BS),DiscountDetails (BS),Long Disc (NEW),DiscountDetails_Long (NEW),ParentCategory (BS),ChildCategory (BS),AustraliaWide (BS),Overseas (BS),onlinemailorder (OS),SeniorSchemeInd (BS),CarerSchemeInd (BS),Mobile Service (NEW),telephoneno (OS),email (NEW),listingaddress (OS),listingsuburb (OS),listingpostcode (OS),onlinemailorder (OS),DirectoryEdition (OS),DirectoryArea (OS),Latitude,Longitude,Latitude (New) DMSS,Longitude (New) DMSS
11,Albion Appliance Service P/L,,1758,15% off service calls. Excludes dishwashers.,TRUE,This is where a business can promote a short term special or new product and have the ability to include a lengthy description about the new produce or service to cardholders. It would be a marketable add on and could incorporate an image ,Consumer Goods and Services,Electrical Goods - Repairs and Services,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,(07) 3630 1611,albion@bettastores.com.au,108 Nudgee Rd,ALBION,4010,FALSE,Greater Brisbane,Greater Brisbane,-27.431998,153.071526,27° 25' 55.19'' ,153° 4' 17.49'' 
12,Clifford Garden Meats,,7,5% off all purchases. Excludes specials and bulk meat.,FALSE,,Food  Drink Suppliers and Services,Food - Meat  Seafood  Poultry and Smallgoods,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,(07) 4634 6855,,Clifford Gardens Shp Cnt,TOOWOOMBA,4350,FALSE,South West Qld and Darling Downs,Darling Downs and South West Queensland,-27.565371,151.932979,27° 33' 55.34'' ,151° 55' 58.72'' 
13,Gray Whale Anchor Inn,www.graywhale.com.au,2540,10% off accommodation for stays of one week or more.,FALSE,,Accommodation,Accommodation,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,(07) 4051 9249,graywhale@bigpond.com.au,19 Gatton St,CAIRNS,4870,FALSE,Far North Qld,Cairns  Atherton Tablelands and Far North Qld,-16.915820,145.766258,16° 54' 56.95'' ,145° 45' 58.53'' 
18,Schonell Theatre,www.schonell.com,9,$4 off the price of a full priced movie ticket.,TRUE,Very long description of a new offer or service. (300 characters),Entertainment  Events and Venues,Cinemas,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,(07) 3377 2988,schonell.theatre@uq.edu.au,Union Rd - University Grounds,ST LUCIA,4067,FALSE,Greater Brisbane,Greater Brisbane,-27.496100,153.015875,27° 29' 45.96'' ,153° 0' 57.15'' 
35,Video Tape Maintenance,,18,10% off all inkjet cartridges.,FALSE,,Computers,Computers - Sales  Products and Repairs,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,(07) 3883 4443,,U 3  14 Meredith St,REDCLIFFE,4020,FALSE,Greater Brisbane,Greater Brisbane,-27.226432,153.111085,27° 13' 34.98'' ,153° 6' 39.93'' 
35,Video Tape Maintenance,,17322,10% off all stationery and ink jet cartridges.,FALSE,,Office and Business - Supplies and Services,Stationery and Office Supplies,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,(07) 3883 4443,,U 3  14 Meredith St,REDCLIFFE,4020,FALSE,Greater Brisbane,Greater Brisbane,-27.226432,153.111085,27° 13' 34.98'' ,153° 6' 39.93'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,5 Leichhardt Dr,MIDDLEMOUNT,4746,FALSE,North Qld and Whitsundays,North Queensland  Mackay and Whitsundays,-22.809432,148.699119,22° 48' 33.96'' ,148° 41' 56.83'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,33 Callide St,BILOELA,4715,FALSE,Central Qld and Wide Bay,Central Queensland and Wide Bay Burnett,-24.403792,150.513259,24° 24' 13.65'' ,150° 30' 47.73'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,81-83 Flinders St East,TOWNSVILLE,4810,FALSE,North Qld and Whitsundays,North Queensland  Mackay and Whitsundays,-19.257019,146.822233,19° 15' 25.27'' ,146° 49' 20.04'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,31 Takalvan St,BUNDABERG,4670,FALSE,Central Qld and Wide Bay,Central Queensland and Wide Bay Burnett,-24.874320,152.332067,24° 52' 27.55'' ,152° 19' 55.44'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,cnr Lake/Aplin Sts,CAIRNS,4870,FALSE,Far North Qld,Cairns  Atherton Tablelands and Far North Qld,-16.920428,145.774436,16° 55' 13.54'' ,145° 46' 27.97'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,Airport Terminal,GLADSTONE,4680,FALSE,Central Qld and Wide Bay,Central Queensland and Wide Bay Burnett,-23.871325,151.223812,23° 52' 16.77'' ,151° 13' 25.72'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,cnr Ocean St/Beach Rd,MAROOCHYDORE,4558,FALSE,Sunshine Coast,Caboolture and the Sunshine Coast,-26.652646,153.089632,26° 39' 9.53'' ,153° 5' 22.68'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,103 Old Cleveland Rd,CAPALABA,4157,FALSE,Greater Brisbane,Greater Brisbane,-27.520557,153.192746,27° 31' 14.01'' ,153° 11' 33.89'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,116 Gill St,CHARTERS TOWERS,4820,FALSE,North Qld and Whitsundays,North Queensland  Mackay and Whitsundays,-20.076702,146.260823,20° 4' 36.13'' ,146° 15' 38.96'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,260 Ruthven St,TOOWOOMBA,4350,FALSE,South West Qld and Darling Downs,Darling Downs and South West Queensland,-27.553057,151.954911,27° 33' 11.01'' ,151° 57' 17.68'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,37 Capella St,CLERMONT,4721,FALSE,Central Qld and Wide Bay,Central Queensland and Wide Bay Burnett,-22.823344,147.640478,22° 49' 24.04'' ,147° 38' 25.72'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,cnr Sandgate/Zillmere Rds,BOONDALL,4034,FALSE,Greater Brisbane,Greater Brisbane,-27.362946,153.061503,27° 21' 46.61'' ,153° 3' 41.41'' 
