Title,Street address,Suburb,Postcode,Latitude,Longtitude,Phone,Fax,Mon am,Mon pm,Tues am,Tues pm,Wed am,Wed pm,Thurs am,Thurs pm,Fri am,Fri pm,Sat am,Sat pm,Sun am,Sun pm
Agnes Water,71 Springs Road,Agnes Water,4677,-24.212252,151.910144,(07) 4902 1555,(07) 4902 1599,9:00,16:30,9:00,16:30,9:00,16:30,9:00,16:30,9:00,16:30,,,,
Aramac,Gordon Street,Aramac,4726,-22.970524,145.242898,(07) 4651 3014,(07) 4651 3000,9:00-13:00,14:00-16:45,9:00-13:00,14:00-16:45,9:00-13:00,14:00-16:45,9:00-13:00,14:00-16:45,9:00-13:00,14:00-16:45,,,,
Augathella,98 Main Street,Augathella,4477,-25.795825,146.581712,(07) 4654 5007,(07) 4654 5009,9:30,15:30,9:30,15:30,9:30,15:30,9:30,15:30,9:30,15:30,,,,
Babinda (Police Station),10 Munro Street,Babinda,4861,-17.343982,145.924292,(07) 4067 1120,(07) 4067 1045,8:30,15:30,8:30,15:30,Closed,Closed,8:30,15:30,8:30,15:30,,,,
Barcaldine (Court House),65 Ash Street,Barcaldine,4725,-23.553474,145.290261,(07) 4651 1191,(07) 4651 2021,9:00,16:30,9:00,16:30,9:00,16:30,9:00,16:30,9:00,16:30,,,,
Beaudesert,"Centre 9, William Street",Beaudesert,4285,-27.989608,152.998844,(07) 5542 9400,(07) 5542 9450,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,
Bedourie (Police Station),Merri Street,Bedourie,4829,-24.358787,139.469664,(07) 4746 1128,(07) 4746 1266,8:30-12:30,1:00-5:00,Closed,Closed,Closed,Closed,Closed,Closed,8:30-12:30,1:00-5:00,,,,
Biloela,60 Kariboe Street,Biloela,4715,-24.400826,150.513251,(07) 4992 8700,(07) 4992 1768,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:30-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,,,,
Birdsville (Police Station),MacDonald Street,Birdsville,4482,-25.901947,139.349082,(07) 4656 3310,(07) 4656 3312,9:00,13:00,Closed,Closed,9:00,13:00,9:00,13:00,9:00,13:00,,,,
Blackall,Shamrock Street,Blackall,4472,-24.421675,145.45902,(07) 4657 4233,(07) 4657 4908,9:00,16:30,9:00,16:30,9:00,16:30,9:00,16:30,9:00,16:30,,,,
