"Centre Code","Centre Name","Centre Type","All Student Count","Enrolment Effective","Actual Address Line 1","Actual Address Line 2","Actual Address Line 3","Actual Address Post Code","OIC Title","Postal Address 1","Postal Address 2","Postal Address 3","Postal Address Post Code","Band","Phone Number","Restrict Contact to Outside Teaching Hours","Fax Number","Internet Site","Official Low Year Level","Official High Year Level","Geographic Region","Federal Electorate","State Electorate","Local Government Area"
"5817","A B Paterson College","Non-State School","","","10 A B Paterson Drive","Arundel","","4214","Principal","10 A B Paterson Drive","Arundel","","4214","","(07) 5594 7947","N","(07) 5594 7650","www.abpat.qld.edu.au","PY","12","South East","Fadden","Southport","Gold Coast (C)"
"5755","A Statewide Funding Project (Capital Works)","Pseudo Centre","0","","30 Mary Street","Brisbane","","4000","Director (Facilities & Services)","PO Box 15033","City East","Brisbane","4002","","(07) 3235 4188","N","","","","","Central Office","Brisbane","Brisbane Central","Brisbane (C)"
"5754","A Statewide General Project (Capital Works)","Pseudo Centre","0","","30 Mary Street","Brisbane","","4000","Director (Facilities & Services)","PO Box 15033","City East","Brisbane","4002","","(07) 3235 4188","N","","","","","Central Office","Brisbane","Brisbane Central","Brisbane (C)"
"7961","A&TSI Learning and Engagement Centre - Far North (Cairns)","Support Centre","0","","Cnr Mulgrave Road and Severin Street","Cairns","","4870","Manager","PO Box 2268","Cairns","","4870","","(07) 4044 5600","N","(07) 4031 3238","","","","Far North Queensland","Leichhardt","Cairns","Cairns (R)"
"0591","Abercorn State School","State School","21","February 2012","957 Wuruma Dam Road","Abercorn","","4627","Principal","MS 85","Eidsvold","","4627","05","(07) 4167 5190","N","(07) 4167 5135","www.abercornss.eq.edu.au","PY","07","Central Queensland","Flynn","Callide","North Burnett (R)"
"1275","Abergowrie State School","State School","12","February 2012","5 Venables Road","Abergowrie","","4850","Principal","MS 102","Ingham","","4850","05","(07) 4777 4672","N","(07) 4777 4686","www.abergowrss.eq.edu.au","PY","07","North Queensland","Kennedy","Hinchinbrook","Hinchinbrook (S)"
"5588","Aboriginal & Islander Independent Community School","Non-State School","","","1277 Beaudesert Road","Acacia Ridge","","4110","Principal","PO Box 256","Acacia Ridge","","4110","","(07) 3255 6133","N","(07) 3255 6562","www.murrischool.qld.edu.au","PY","12","Metropolitan","Moreton","Sunnybank","Brisbane (C)"
"3380","Acacia Ridge SS - Early Childhood Development Program","Special Education Program","0","February 2012","Nyngam Street","Acacia Ridge","","4110","Head of Special Education Services","Nyngam Street","Acacia Ridge","","4110","06","(07) 3717 4149","N","(07) 3717 4151","","0P","PY","Metropolitan","Moreton","Sunnybank","Brisbane (C)"
"3454","Acacia Ridge SS - Special Education Program","Special Education Program","0","February 2012","Nyngam Street","Acacia Ridge","","4110","Teacher-in-Charge","c/- State School","Nyngam Street","Acacia Ridge","4110","","(07) 3717 4143","N","(07) 3717 4145","","PY","07","Metropolitan","Moreton","Sunnybank","Brisbane (C)"
"0025","Acacia Ridge State School","State School","337","February 2012","Nyngam Street","Acacia Ridge","","4110","Principal","Nyngam Street","Acacia Ridge","","4110","08","(07) 3717 4111","N","(07) 3717 4100","www.acaciaridgess.eq.edu.au","PY","07","Metropolitan","Moreton","Sunnybank","Brisbane (C)"
